run_id,experiment_id,scenario_id,mode,seed,network_profile,task_success,result_status,task_completion_time_ms,cloud_invocation_count,uploaded_bytes,downloaded_bytes,mode_switch_count,cache_hit_count,cache_miss_count,simulated_collision_count,unsafe_counterfactual_count,config_hash,result_hash
run-40288df9fb83e252,full-s01_normal_static-pcsc-good-0,S01_NORMAL_STATIC,PCSC,0,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,8ef20f75c805e9a47c77ddc1ee65cfc91470ae96c40137a338ead075e87fcab8,2adee84377b155994425e56374fdaeef8030081486ada5f8394f1f73fe5a244d
run-43a33417805505ee,full-s01_normal_static-pcsc-good-1,S01_NORMAL_STATIC,PCSC,1,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,8c8e8bffae3584d149bce3ff60ba24869b6586db0e2e32ca04e3e033aeaef084,844d8685958d93cf5f958bc71b23597db53d6706365201deb8343af08fca402a
run-a7bdcf766791335b,full-s01_normal_static-pcsc-good-2,S01_NORMAL_STATIC,PCSC,2,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,c0b10f4369fd8a4ea5f428b9de465bac145a3cec78e81cc94290bea0ffbdd346,d6701f6ec3009c0dcc0966788ba1f7413ca3b7bad4829bb5956d902972ab54e1
run-d6f1f57e141b7f12,full-s01_normal_static-pcsc-good-3,S01_NORMAL_STATIC,PCSC,3,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,5661f0979dd5838eff33a86cf7d68455d13813fd947c3cab7977bc351dd85495,d2e8f43e032b45a3deeaf902f48bbb470e7aa1de867d5f974e44efc4c0c2f482
run-675e31c4bac6c6be,full-s01_normal_static-pcsc-good-4,S01_NORMAL_STATIC,PCSC,4,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,4583ce9c4a588e45c3ddcdd74925507ae95abade83f0193b34952d7e74c29a44,142695bdef912c7eacf6a42fbb03eca8365282f1be3e998de65652c250be2b4b
run-d883380233dcaf14,full-s01_normal_static-pcsc-good-5,S01_NORMAL_STATIC,PCSC,5,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,0f17e76d9e4c9811448c25aebdb976f33e49b6d999735902f29ad501580a3beb,6791cdeff2ed9d130d73ff086a5ae6923eaf07a0539d94c2a133cc5ac1ca5c6b
run-bbc000b149c42542,full-s01_normal_static-pcsc-good-6,S01_NORMAL_STATIC,PCSC,6,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,4fea9ac99af64e6f24b8f334dd441b8c4a7e845a9cd87b50ff14659f99ced67d,eebeaad49237de7efd206075f3bb1e6865b231e549f17d92dde456184a717f35
run-d4771535401498fd,full-s01_normal_static-pcsc-good-7,S01_NORMAL_STATIC,PCSC,7,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,9df964794b537c0d7eef20ff8000c4458f7d7f916ac46798f9f868dadfd39d17,10121526951bc979fb52e3b7189bf2637c338a83e6b3cf0a8ddd8175845ebfa2
run-0545cda347c92a50,full-s01_normal_static-pcsc-good-8,S01_NORMAL_STATIC,PCSC,8,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,51a800c4ef19963b269b644e62e10a518def3dbb60961b8bb04aa9fd529afa31,c010ce28903289601ab96916aa36cb1e1952b5ad3c9f354041c9aa9e5a86e1f0
run-54f0c10baaaa7920,full-s01_normal_static-pcsc-good-9,S01_NORMAL_STATIC,PCSC,9,GOOD,True,SUCCESS,1100,0,0,201,0,0,1,0,0,5324461823b9bb5cb56b7c7e89f97e7b1fe4ed2c52732ff8824068e73d171948,ea8f8a9c3c95494e0ed00603b6ee1e61c8064e5f16ee1f88db5b8357eccc3d82
