run_id,experiment_id,scenario_id,mode,seed,network_profile,task_success,result_status,task_completion_time_ms,fault_detection_latency_ms,cloud_response_latency_ms,recovery_latency_ms,cloud_invocation_count,supervisory_decision_count,replan_count,retry_count,uploaded_bytes,downloaded_bytes,mode_switch_count,deferred_switch_count,aborted_transition_count,cache_hit_count,cache_miss_count,simulated_collision_count,unsafe_counterfactual_count,config_hash,result_hash
run-40288df9fb83e252,full-s01_normal_static-pcsc-good-0,S01_NORMAL_STATIC,PCSC,0,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,f95cc73b97093663ccee8a07d32e3ccf4e5347a0f20b52862bbcb06f81795d8e,5eabc4bf48e77d0fe6a0b681a5084771428a0437893939ee6ed116c65faa5060
run-43a33417805505ee,full-s01_normal_static-pcsc-good-1,S01_NORMAL_STATIC,PCSC,1,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,328e58f7a523f0318c9ded695f3be8d1d0e5c4d3a117fe4d9e8f42bf5973d367,6323d752eca9705f1da9a6959ca46bb9330cebef0beba6e585b427479a413723
run-a7bdcf766791335b,full-s01_normal_static-pcsc-good-2,S01_NORMAL_STATIC,PCSC,2,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,9b6e5d7eab52626788d9477985a0e196d22b86780c66f0e37b8c4ebe49325312,9d77eba36f75491a96d3878fe4360946b0fb936d058f241ab1cbaec2b9bed674
run-d6f1f57e141b7f12,full-s01_normal_static-pcsc-good-3,S01_NORMAL_STATIC,PCSC,3,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,d916058b44730dc70bc35509c6340718aaf92002456281db018217f8fecd27b2,1ead76dbeddd180a7f267445316fce93c16cc9099393ba2033b4b2065cc0cf11
run-675e31c4bac6c6be,full-s01_normal_static-pcsc-good-4,S01_NORMAL_STATIC,PCSC,4,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,1082a70d40eb91e6ac584c5a41309e115c0e8d52802b89655c639084573b3250,76b843c0c7487828fb61b268387ba66f9e8be3c4c200c39dac107ef5b76e981e
run-d883380233dcaf14,full-s01_normal_static-pcsc-good-5,S01_NORMAL_STATIC,PCSC,5,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,c077f0dbfa406323697785c8229f61a310826d9f3e93806e2c75ec1ae1aaf802,a82c6592780f23fbe1c3d0e0424c960da22f3c22110571e1525654d103b619f2
run-bbc000b149c42542,full-s01_normal_static-pcsc-good-6,S01_NORMAL_STATIC,PCSC,6,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,36f2cf45c2c5497177b1f3e5340b40bb4b8d8c727352b25c627a46a448382284,e17742e05811f40ba33f7484145eaab91ba0f22c7cc4e892f547126be2e2e089
run-d4771535401498fd,full-s01_normal_static-pcsc-good-7,S01_NORMAL_STATIC,PCSC,7,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,0550416843418fb75e040b11b18d4b1406f776c19fc9bb2cad49ae2602dc22ea,2c344d22492fc2c3904df8750190d9177780b58c8a38d79363bdf56a09fe34fa
run-0545cda347c92a50,full-s01_normal_static-pcsc-good-8,S01_NORMAL_STATIC,PCSC,8,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,caea633aa43fde23d2509b9cab59dcd5092923e9b4a2e7c74b3d167afe5b7909,760ff01906f5ef46a7a3a5856519622148404404a9b59e48bd68f3341e8a270c
run-54f0c10baaaa7920,full-s01_normal_static-pcsc-good-9,S01_NORMAL_STATIC,PCSC,9,GOOD,True,SUCCESS,1121,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,c1ff9cebd9080de3c296a96884407580d3d8dd357615729e87315a232ad230d4,a1bd25e0c2ea8048e9af60a23e4596d21b94316a851cc7dbf4a2896076837a8e
