run_id,experiment_id,scenario_id,mode,seed,network_profile,task_success,result_status,task_completion_time_ms,fault_detection_latency_ms,cloud_response_latency_ms,recovery_latency_ms,cloud_invocation_count,supervisory_decision_count,replan_count,retry_count,uploaded_bytes,downloaded_bytes,mode_switch_count,deferred_switch_count,aborted_transition_count,cache_hit_count,cache_miss_count,simulated_collision_count,unsafe_counterfactual_count,config_hash,result_hash
run-6aeb96c7552e2361,smoke-s01_normal_static-pcsc-normal-0,S01_NORMAL_STATIC,PCSC,0,NORMAL,True,SUCCESS,1251,,,,3,3,0,0,0,603,0,0,0,0,1,0,0,2d1f06871045fc770d1674b7fb1b76344f91ec9fdbe4180dccc96668ea1a17ec,ce2a3f234f88a21f330a758adb834d23c85196b32453038606ea45e40bdf0ff1
run-6ae1f4bfb8f66771,smoke-s01_normal_static-eteac-normal-0,S01_NORMAL_STATIC,ETEAC,0,NORMAL,True,SUCCESS,1100,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,c23c3d21fc19a6121c5dfb9b25ac8f65a6bd9aee1e801047048fdae1dbbc3a3c,c6d97725a1128013603fbafb538cc107a59af71c4c1756fb7d24d8754a837ec5
run-ed52f969a7411190,smoke-s01_normal_static-auto-normal-0,S01_NORMAL_STATIC,AUTO,0,NORMAL,True,SUCCESS,1100,,,,0,0,0,0,0,0,1,1,0,0,1,0,0,2f61b17e1dc0f207b88895b5dbc413f89ea5885a15c3541ca810ade04ca45a28,4033dfd80bf8dd7dc1023c9b90e598df0f28467959bd4a0f70ad64754e5c211e
run-35014b698bf18bfe,smoke-s02_target_moved-pcsc-normal-0,S02_TARGET_MOVED,PCSC,0,NORMAL,True,SUCCESS,1251,201,,400,3,3,0,0,0,603,0,0,0,0,1,0,0,2b66519ffe78bf7cde76a86391c850df1ffd504d4e1a92360020640a0f182fe1,8463c72020cde6650a4dce8fe7a11ef5c44e4e955317a23501dc656de93dd34e
run-7d8545196aa72ef4,smoke-s02_target_moved-eteac-normal-0,S02_TARGET_MOVED,ETEAC,0,NORMAL,True,SUCCESS,1100,,,400,0,0,0,0,0,0,0,0,0,0,1,0,0,1b62a628308be478565e82ac239536d48282c2f6564a52eda960b1d4da5b381e,536541b36b6b3f7dda4cd93c70b85c7c63f2306812bb882eb5161721f3a6e388
run-d2ff711998abf105,smoke-s02_target_moved-auto-normal-0,S02_TARGET_MOVED,AUTO,0,NORMAL,True,SUCCESS,1100,,,400,0,0,0,0,0,0,1,1,0,0,1,0,0,6baf412a95f584e4142fae52a6fe6ce67224148c0909ee15699bde6b60f5c17a,1837c07e30e4f2d119f71398ba3332476850e210701684a10e08e02091c379cb
run-af26300e3a61e59c,smoke-s03_obstacle_inserted-pcsc-normal-0,S03_OBSTACLE_INSERTED,PCSC,0,NORMAL,False,NEEDS_OBSERVATION,1051,,,0,2,2,0,0,0,402,0,0,0,0,1,0,0,5febe393bc4ddbd98ddfb18842c2c630da99533af88a83860f719da19bfcbcd0,7f9d03e7644d7459d0b68df78fc56aa97ffe6957bd817725050c461c4fea9bc8
run-7fe48b458417c4f1,smoke-s03_obstacle_inserted-eteac-normal-0,S03_OBSTACLE_INSERTED,ETEAC,0,NORMAL,False,NEEDS_OBSERVATION,900,,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6ada0d6d3653e6fb28bb78cf450e3ef42b9aafc697ecba1fdd7db15257f101ed,95dd025082616a8f147feb47b04c071835fe4ded49c3843f9196a9babdb5f59c
run-509acb2028ce1d3a,smoke-s03_obstacle_inserted-auto-normal-0,S03_OBSTACLE_INSERTED,AUTO,0,NORMAL,False,NEEDS_OBSERVATION,900,,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,fd470e4abb486e426a953f6ba013fab3c5298c3acfceeb7fe5b1393de6dd0514,e4ed532e13b18dad17c1e3c352beb3e89e039a534eb6bbc3225453acb077621b
run-2b9681d3817d3bf1,smoke-s04_grasp_failure-pcsc-normal-0,S04_GRASP_FAILURE,PCSC,0,NORMAL,True,SUCCESS,1351,,,950,3,3,0,1,0,603,0,0,0,0,1,0,0,21a2740a5866f1b5b1ba3f134a48cae2e4279cb055033e2a6c0665a195a6345b,ed16a9e6058e0821b4af88fae144a47edf13b80fcc4e1f367ea53e9dfc1257af
run-028d46ea606fb245,smoke-s04_grasp_failure-eteac-normal-0,S04_GRASP_FAILURE,ETEAC,0,NORMAL,True,SUCCESS,1200,950,,950,0,0,0,1,0,0,0,0,0,0,1,0,0,8098a0b43029ebca03ab86d3a80ae6df49efecd7534f02413d0ab5f0795829ef,a6d3add56d41e30cb49255d14a3a0986140e8015338c40eb0ae931c2cd08f337
run-3a708b44736514d4,smoke-s04_grasp_failure-auto-normal-0,S04_GRASP_FAILURE,AUTO,0,NORMAL,True,SUCCESS,1200,,,950,0,0,0,1,0,0,1,1,0,0,1,0,0,00b2c16f066b2894b33d4db88d9ce7e95a7b52d7c8f13b051dd5970e85b1aed4,35f2a1677241733895fa3d26863325d7d542c96e7fd7e584aafb66ef3ec748e7
run-a4db8cf6fbabfdff,smoke-s05_target_lost-pcsc-normal-0,S05_TARGET_LOST,PCSC,0,NORMAL,False,NEEDS_OBSERVATION,1251,1,,500,3,3,0,0,0,633,0,0,0,0,1,0,0,5029da86086720a2be12af211dc39672782b25cb0de83104ad89445be0439fe5,07b05a1ce40755c65182a74b7779b0f144e7bd806774cd98d173a5d8ccc1b26c
run-20deee50d313a650,smoke-s05_target_lost-eteac-normal-0,S05_TARGET_LOST,ETEAC,0,NORMAL,False,NEEDS_OBSERVATION,1100,,,500,0,0,0,0,0,0,0,0,0,0,1,0,0,f8c89f6401621ea12acaf6b777fe373264a7b3a0690e5d3ae2d9e0e69698d49f,5d0da3cc6473eec827072af3e4d776294ec9329a655470ad9b809b0b670de281
