run_id,scenario,mode,seed,network,randomization_level,joint_tracking_rmse,tcp_position_error_m,tcp_orientation_error_deg,trajectory_duration_ms,max_joint_velocity,max_joint_acceleration,max_tcp_velocity,min_obstacle_distance_m,illegal_collision_count,illegal_collision_impulse,expected_contact_count,grasp_contact_count,object_slip_distance_m,object_drop_count,grasp_stability_duration_ms,final_object_position_error_m,object_detection_recall,pose_position_error_m,pose_orientation_error_deg,depth_valid_ratio,dropped_frame_count,sensor_latency_ms,sensor_timestamp_skew_ms,scene_confidence,real_time_factor,physics_steps,control_ticks,sensor_frames,wall_runtime_s,simulated,result_hash,task_success,result_status,task_completion_time_ms,cloud_invocation_count,fault_detection_latency_ms,recovery_latency_ms,uploaded_bytes,downloaded_bytes,retransmission_count,mode_switch_count,safety_stop
phase9-00000,S01_NORMAL_STATIC,PCSC,0,GOOD,MILD,0.26805904,0.29680185,0.11506761,750.0,0.38684965,0.10382257,0.67056502,0.12,0,0,0,0,0.0,0,400,0.29680185,1.0,0.00376552,0.376552,0.98493792,0,3.89762486,0.376552,0.96987584,0.0,180,1,1,0.0,True,147b079a301ef1d1fb0909a3512d2bdcea996aaf3556f6cc8bb9bece691c971e,True,SUCCESS,845,3,100,40,896,544,0,0,False
phase9-00001,S01_NORMAL_STATIC,PCSC,0,GOOD,MODERATE,0.26264331,0.28958773,0.11772407,750.0,0.26980632,0.09668,0.68335558,0.12,0,0,1,1,0.0,0,400,0.28958773,1.0,0.00588415,0.588415,0.9764634,0,6.01625486,0.588415,0.9529268,0.0,180,1,1,0.0,True,db8bbf75b43bd0940c738d67f56af318f0fddc642f8d20ec473ca527b95d6bdb,True,SUCCESS,845,3,100,40,896,544,0,0,False
phase9-00002,S01_NORMAL_STATIC,PCSC,0,GOOD,SEVERE,0.25745581,0.28351178,0.13159802,750.0,0.23831374,0.09490519,0.69532837,0.12,0,0,1,1,0.0,0,400,0.28351178,1.0,0.00906209,0.906209,0.96375164,0,9.19419486,0.906209,0.92750328,0.0,180,1,1,0.0,True,9f0e8fb77e6935a89beca37e3546a9854aef77d4053b944ec8813fd2b6341ddc,True,SUCCESS,845,3,100,40,896,544,0,0,False
phase9-00003,S01_NORMAL_STATIC,PCSC,0,NORMAL,MILD,0.26805904,0.29680185,0.11506761,750.0,0.38684965,0.10382257,0.67056502,0.12,0,0,0,0,0.0,0,400,0.29680185,1.0,0.00376552,0.376552,0.98493792,0,3.89762486,0.376552,0.96987584,0.0,180,1,1,0.0,True,147b079a301ef1d1fb0909a3512d2bdcea996aaf3556f6cc8bb9bece691c971e,True,SUCCESS,865,3,120,80,896,544,0,0,False
phase9-00004,S01_NORMAL_STATIC,PCSC,0,NORMAL,MODERATE,0.26264331,0.28958773,0.11772407,750.0,0.26980632,0.09668,0.68335558,0.12,0,0,1,1,0.0,0,400,0.28958773,1.0,0.00588415,0.588415,0.9764634,0,6.01625486,0.588415,0.9529268,0.0,180,1,1,0.0,True,db8bbf75b43bd0940c738d67f56af318f0fddc642f8d20ec473ca527b95d6bdb,True,SUCCESS,865,3,120,80,896,544,0,0,False
phase9-00005,S01_NORMAL_STATIC,PCSC,0,NORMAL,SEVERE,0.25745581,0.28351178,0.13159802,750.0,0.23831374,0.09490519,0.69532837,0.12,0,0,1,1,0.0,0,400,0.28351178,1.0,0.00906209,0.906209,0.96375164,0,9.19419486,0.906209,0.92750328,0.0,180,1,1,0.0,True,9f0e8fb77e6935a89beca37e3546a9854aef77d4053b944ec8813fd2b6341ddc,True,SUCCESS,865,3,120,80,896,544,0,0,False
phase9-00006,S01_NORMAL_STATIC,PCSC,0,DEGRADED,MILD,0.26805904,0.29680185,0.11506761,750.0,0.38684965,0.10382257,0.67056502,0.12,0,0,0,0,0.0,0,400,0.29680185,1.0,0.00376552,0.376552,0.98493792,0,3.89762486,0.376552,0.96987584,0.0,180,1,1,0.0,True,147b079a301ef1d1fb0909a3512d2bdcea996aaf3556f6cc8bb9bece691c971e,True,SUCCESS,945,3,200,240,896,544,1,0,False
phase9-00007,S01_NORMAL_STATIC,PCSC,0,DEGRADED,MODERATE,0.26264331,0.28958773,0.11772407,750.0,0.26980632,0.09668,0.68335558,0.12,0,0,1,1,0.0,0,400,0.28958773,1.0,0.00588415,0.588415,0.9764634,0,6.01625486,0.588415,0.9529268,0.0,180,1,1,0.0,True,db8bbf75b43bd0940c738d67f56af318f0fddc642f8d20ec473ca527b95d6bdb,True,SUCCESS,945,3,200,240,896,544,1,0,False
phase9-00008,S01_NORMAL_STATIC,PCSC,0,DEGRADED,SEVERE,0.25745581,0.28351178,0.13159802,750.0,0.23831374,0.09490519,0.69532837,0.12,0,0,1,1,0.0,0,400,0.28351178,1.0,0.00906209,0.906209,0.96375164,0,9.19419486,0.906209,0.92750328,0.0,180,1,1,0.0,True,9f0e8fb77e6935a89beca37e3546a9854aef77d4053b944ec8813fd2b6341ddc,True,SUCCESS,945,3,200,240,896,544,1,0,False
phase9-00009,S01_NORMAL_STATIC,PCSC,0,POOR,MILD,0.26805904,0.29680185,0.11506761,750.0,0.38684965,0.10382257,0.67056502,0.12,0,0,0,0,0.0,0,400,0.29680185,1.0,0.00376552,0.376552,0.98493792,0,3.89762486,0.376552,0.96987584,0.0,180,1,1,0.0,True,147b079a301ef1d1fb0909a3512d2bdcea996aaf3556f6cc8bb9bece691c971e,True,SUCCESS,1085,3,340,520,896,544,2,0,False
