run_id,scenario,mode,seed,network,randomization_level,joint_tracking_rmse,tcp_position_error_m,tcp_orientation_error_deg,trajectory_duration_ms,max_joint_velocity,max_joint_acceleration,max_tcp_velocity,min_obstacle_distance_m,illegal_collision_count,illegal_collision_impulse,expected_contact_count,grasp_contact_count,object_slip_distance_m,object_drop_count,grasp_stability_duration_ms,final_object_position_error_m,object_detection_recall,pose_position_error_m,pose_orientation_error_deg,depth_valid_ratio,dropped_frame_count,sensor_latency_ms,sensor_timestamp_skew_ms,scene_confidence,real_time_factor,physics_steps,control_ticks,sensor_frames,wall_runtime_s,simulated,result_hash,task_success,result_status,task_completion_time_ms,cloud_invocation_count,fault_detection_latency_ms,recovery_latency_ms,uploaded_bytes,downloaded_bytes,retransmission_count,mode_switch_count,safety_stop
phase9-00000,S01_NORMAL_STATIC,PCSC,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,865,3,120,80,896,544,0,0,False
phase9-00001,S01_NORMAL_STATIC,ETEAC,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,815,1,260,80,640,352,0,0,False
phase9-00002,S01_NORMAL_STATIC,AUTO,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,840,2,180,80,768,448,0,1,False
phase9-00003,S02_TARGET_MOVED,PCSC,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,865,3,120,80,896,544,0,0,False
phase9-00004,S02_TARGET_MOVED,ETEAC,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,815,1,260,80,640,352,0,0,False
phase9-00005,S02_TARGET_MOVED,AUTO,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,840,2,180,80,768,448,0,1,False
phase9-00006,S04_GRASP_FAILURE,PCSC,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,865,3,120,80,896,544,0,0,False
phase9-00007,S04_GRASP_FAILURE,ETEAC,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,815,1,260,80,640,352,0,0,False
phase9-00008,S04_GRASP_FAILURE,AUTO,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,True,SUCCESS,840,2,180,80,768,448,0,1,False
phase9-00009,S14_EMERGENCY_STOP,PCSC,0,NORMAL,NONE,0.27207986,0.30176197,0.11262223,750.0,0.50714145,0.10943938,0.66089797,0.12,0,0,0,0,0.0,0,400,0.30176197,1.0,0.002,0.2,0.992,0,2.13210486,0.2,0.984,0.0,180,1,1,0.0,True,dfd7314f8712458df10b276ae650638aa73f07d2a31250151a87d5464f8be1c7,False,SAFETY_STOPPED,865,3,120,80,896,544,0,0,True
